2025-04-27_04-54-30,000%,draft.go:2025-04-27_04-54-30
2025-04-27_04-55-45,037%,draft.go:2025-04-27_04-55-45
2025-04-27_04-59-59,037%,draft.go:2025-04-27_04-59-59
2025-04-27_05-01-53,037%,draft.go:2025-04-27_05-01-53
2025-04-27_05-03-21,037%,draft.go:2025-04-27_05-03-21
2025-04-27_05-06-15,037%,draft.go:2025-04-27_05-06-15
2025-04-27_05-06-37,075%,draft.go:2025-04-27_05-06-37
2025-04-27_05-07-10,087%,draft.go:2025-04-27_05-07-10
2025-04-27_05-07-31,087%,draft.go:2025-04-27_05-07-31
2025-04-27_05-07-41,Execução Livre,draft.go:2025-04-27_05-07-31
2025-04-27_05-08-32,062%,draft.go:2025-04-27_05-08-32
2025-04-27_05-09-17,087%,draft.go:2025-04-27_05-09-17
2025-04-27_05-10-19,100%,draft.go:2025-04-27_05-10-19
2025-04-27_05-10-23,100%,draft.go:2025-04-27_05-10-19
